FICHIER :;e:\comax\07-02-mesure3.eposacq
Date :;07/02/2017
Heure :;08:54:40

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;        -1;
         1;       5,0;;         0;         0;        -1;
         2;      10,0;;         0;         0;        -1;
         3;      15,0;;         0;         0;        -1;
         4;      20,0;;         0;         0;        -1;
         5;      25,0;;         0;         0;        -1;
         6;      30,0;;         0;         0;        -1;
         7;      35,0;;         0;         0;        -1;
         8;      40,0;;         0;         0;        -1;
         9;      45,0;;         0;         0;        -1;
        10;      50,0;;       300;         0;        57;
        11;      55,0;;       800;         3;       944;
        12;      60,0;;      1300;        18;      2669;
        13;      65,0;;      1800;        44;      4835;
        14;      70,0;;      2300;        88;      6793;
        15;      75,0;;      2800;       159;      7337;
        16;      80,0;;      3000;       246;      7444;
        17;      85,0;;      3000;       344;      7467;
        18;      90,0;;      3000;       450;      7477;
        19;      95,0;;      3000;       564;      7454;
        20;     100,0;;      3000;       688;      7455;
        21;     105,0;;      3000;       819;      7448;
        22;     110,0;;      3000;       956;      7468;
        23;     115,0;;      3000;      1092;      7498;
        24;     120,0;;      3000;      1228;      7194;
        25;     125,0;;      3000;      1358;      6536;
        26;     130,0;;      3000;      1478;      5919;
        27;     135,0;;      3000;      1589;      5408;
        28;     140,0;;      3000;      1690;      5029;
        29;     145,0;;      3000;      1782;      4698;
        30;     150,0;;      3000;      1863;      4440;
        31;     155,0;;      3000;      1930;      4308;
        32;     160,0;;      3000;      1989;      4255;
        33;     165,0;;      3000;      2039;      4240;
        34;     170,0;;      3000;      2086;      4136;
        35;     175,0;;      3000;      2130;      4043;
        36;     180,0;;      3000;      2170;      3892;
        37;     185,0;;      3000;      2203;      3829;
        38;     190,0;;      3000;      2231;      3806;
        39;     195,0;;      3000;      2253;      3815;
        40;     200,0;;      3000;      2271;      3864;
        41;     205,0;;      3000;      2284;      3905;
        42;     210,0;;      3000;      2291;      4003;
        43;     215,0;;      3000;      2295;      4110;
        44;     220,0;;      3000;      2296;      4217;
        45;     225,0;;      3000;      2295;      4304;
        46;     230,0;;      3000;      2293;      4410;
        47;     235,0;;      3000;      2288;      4491;
        48;     240,0;;      3000;      2282;      4568;
        49;     245,0;;      3000;      2278;      4633;
        50;     250,0;;      3000;      2275;      4647;
        51;     255,0;;      3000;      2272;      4650;
        52;     260,0;;      3000;      2271;      4621;
        53;     265,0;;      3000;      2273;      4579;
        54;     270,0;;      3000;      2278;      4471;
        55;     275,0;;      3000;      2285;      4375;
        56;     280,0;;      3000;      2293;      4252;
        57;     285,0;;      3000;      2301;      4193;
        58;     290,0;;      3000;      2307;      4130;
        59;     295,0;;      3000;      2314;      4111;
        60;     300,0;;      3000;      2320;      4077;
        61;     305,0;;      3000;      2327;      4005;
        62;     310,0;;      3000;      2333;      3998;
        63;     315,0;;      3000;      2336;      3988;
        64;     320,0;;      3000;      2337;      4047;
        65;     325,0;;      3000;      2338;      4071;
        66;     330,0;;      3000;      2339;      4103;
        67;     335,0;;      3000;      2336;      4136;
        68;     340,0;;      3000;      2332;      4211;
        69;     345,0;;      3000;      2327;      4290;
        70;     350,0;;      3000;      2323;      4328;
        71;     355,0;;      3000;      2319;      4361;
        72;     360,0;;      3000;      2315;      4384;
        73;     365,0;;      3000;      2311;      4414;
        74;     370,0;;      3000;      2307;      4443;
        75;     375,0;;      3000;      2304;      4469;
        76;     380,0;;      3000;      2303;      4417;
        77;     385,0;;      3000;      2303;      4405;
        78;     390,0;;      3000;      2304;      4379;
        79;     395,0;;      3000;      2306;      4334;
        80;     400,0;;      3000;      2309;      4272;
        81;     405,0;;      3000;      2313;      4219;
        82;     410,0;;      3000;      2317;      4172;
        83;     415,0;;      3000;      2320;      4146;
        84;     420,0;;      3000;      2322;      4146;
        85;     425,0;;      3000;      2325;      4136;
        86;     430,0;;      3000;      2328;      4128;
        87;     435,0;;      3000;      2330;      4117;
        88;     440,0;;      3000;      2330;      4123;
        89;     445,0;;      3000;      2329;      4164;
        90;     450,0;;      3000;      2326;      4223;
        91;     455,0;;      3000;      2324;      4288;
        92;     460,0;;      3000;      2321;      4298;
        93;     465,0;;      3000;      2318;      4333;
        94;     470,0;;      3000;      2313;      4381;
        95;     475,0;;      3000;      2307;      4443;
        96;     480,0;;      3000;      2304;      4466;
        97;     485,0;;      3000;      2301;      4474;
        98;     490,0;;      3000;      2300;      4463;
        99;     495,0;;      3000;      2297;      4464;
       100;     500,0;;      3000;      2295;      4480;
       101;     505,0;;      3000;      2294;      4474;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;0;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

