FICHIER :;e:\comax\07-02-mesure9.eposacq
Date :;07/02/2017
Heure :;09:11:33

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.4 ms


COMMENTAIRE :
kp=3000
 ki=2000

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;      2155;
         1;       5,4;;         0;         0;      2155;
         2;      10,8;;         0;         0;      2155;
         3;      16,2;;         0;         0;      2155;
         4;      21,6;;         0;         0;      2156;
         5;      27,0;;         0;         0;      2156;
         6;      32,4;;         0;         0;      2155;
         7;      37,8;;         0;         0;      2155;
         8;      43,2;;         0;         0;      2155;
         9;      48,6;;         0;         0;      2156;
        10;      54,0;;         0;         0;      1815;
        11;      59,4;;       500;       -14;       765;
        12;      64,8;;      1000;       -26;      3263;
        13;      70,2;;      1500;        -2;      6561;
        14;      75,6;;      2100;        74;      7279;
        15;      81,0;;      2600;       167;      7418;
        16;      86,4;;      3000;       296;      7464;
        17;      91,8;;      3000;       418;      7445;
        18;      97,2;;      3000;       559;      7473;
        19;     102,6;;      3000;       748;      7480;
        20;     108,0;;      3000;       915;      7453;
        21;     113,4;;      3000;      1119;      7451;
        22;     118,8;;      3000;      1289;      7473;
        23;     124,2;;      3000;      1461;      7459;
        24;     129,6;;      3000;      1675;      7451;
        25;     135,0;;      3000;      1863;      7451;
        26;     140,4;;      3000;      2098;      7436;
        27;     145,8;;      3000;      2295;      6041;
        28;     151,2;;      3000;      2465;      3682;
        29;     156,6;;      3000;      2615;      1527;
        30;     162,0;;      3000;      2693;       119;
        31;     167,4;;      3000;      2734;      -227;
        32;     172,8;;      3000;      2737;       507;
        33;     178,2;;      3000;      2726;      2082;
        34;     183,6;;      3000;      2717;      3937;
        35;     189,0;;      3000;      2734;      5334;
        36;     194,4;;      3000;      2789;      5761;
        37;     199,8;;      3000;      2853;      5137;
        38;     205,2;;      3000;      2916;      3785;
        39;     210,6;;      3000;      2969;      2376;
        40;     216,0;;      3000;      2985;      1498;
        41;     221,4;;      3000;      2969;      1507;
        42;     226,8;;      3000;      2931;      2486;
        43;     232,2;;      3000;      2888;      4227;
        44;     237,6;;      3000;      2863;      5956;
        45;     243,0;;      3000;      2878;      6828;
        46;     248,4;;      3000;      2928;      6582;
        47;     253,8;;      3000;      2985;      5331;
        48;     259,2;;      3000;      3041;      3515;
        49;     264,6;;      3000;      3082;      1725;
        50;     270,0;;      3000;      3086;       568;
        51;     275,4;;      3000;      3060;       341;
        52;     280,8;;      3000;      3016;      1053;
        53;     286,2;;      3000;      2968;      2529;
        54;     291,6;;      3000;      2922;      4236;
        55;     297,0;;      3000;      2911;      5531;
        56;     302,4;;      3000;      2944;      5767;
        57;     307,8;;      3000;      2990;      4889;
        58;     313,2;;      3000;      3026;      3558;
        59;     318,6;;      3000;      3045;      2542;
        60;     324,0;;      3000;      3041;      2050;
        61;     329,4;;      3000;      3013;      2281;
        62;     334,8;;      3000;      2980;      3129;
        63;     340,2;;      3000;      2948;      4364;
        64;     345,6;;      3000;      2931;      5459;
        65;     351,0;;      3000;      2941;      5909;
        66;     356,4;;      3000;      2980;      5509;
        67;     361,8;;      3000;      3023;      4381;
        68;     367,2;;      3000;      3057;      2967;
        69;     372,6;;      3000;      3071;      1830;
        70;     378,0;;      3000;      3059;      1420;
        71;     383,4;;      3000;      3028;      1697;
        72;     388,8;;      3000;      2992;      2602;
        73;     394,2;;      3000;      2962;      3747;
        74;     399,6;;      3000;      2944;      4756;
        75;     405,0;;      3000;      2949;      5277;
        76;     410,4;;      3000;      2977;      5080;
        77;     415,8;;      3000;      3009;      4291;
        78;     421,2;;      3000;      3033;      3288;
        79;     426,6;;      3000;      3039;      2618;
        80;     432,0;;      3000;      3023;      2558;
        81;     437,4;;      3000;      2994;      3098;
        82;     442,8;;      3000;      2972;      3912;
        83;     448,2;;      3000;      2959;      4691;
        84;     453,6;;      3000;      2960;      5138;
        85;     459,0;;      3000;      2978;      5040;
        86;     464,4;;      3000;      3012;      4377;
        87;     469,8;;      3000;      3038;      3372;
        88;     475,2;;      3000;      3053;      2466;
        89;     480,6;;      3000;      3051;      1921;
        90;     486,0;;      3000;      3029;      2024;
        91;     491,4;;      3000;      2989;      2779;
        92;     496,8;;      3000;      2959;      3924;
        93;     502,2;;      3000;      2945;      4915;
        94;     507,6;;      3000;      2950;      5411;
        95;     513,0;;      3000;      2971;      5262;
        96;     518,4;;      3000;      3009;      4538;
        97;     523,8;;      3000;      3035;      3513;
        98;     529,2;;      3000;      3046;      2683;
        99;     534,6;;      3000;      3036;      2387;
       100;     540,0;;      3000;      3010;      2755;
       101;     545,4;;      3000;      2975;      3633;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;2000;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

