FICHIER :;e:\comax\07-02-mesure1.eposacq
Date :;07/02/2017
Heure :;08:53:48

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;         0;
         1;       5,0;;         0;         0;         0;
         2;      10,0;;         0;         0;         1;
         3;      15,0;;         0;         0;         0;
         4;      20,0;;         0;         0;         0;
         5;      25,0;;         0;         0;         0;
         6;      30,0;;         0;         0;         1;
         7;      35,0;;         0;         0;         0;
         8;      40,0;;         0;         0;         0;
         9;      45,0;;         0;         0;         0;
        10;      50,0;;       300;         0;        63;
        11;      55,0;;       800;         2;       980;
        12;      60,0;;      1300;        18;      2720;
        13;      65,0;;      1800;        51;      4786;
        14;      70,0;;      2300;       119;      6653;
        15;      75,0;;      2800;       228;      7258;
        16;      80,0;;      3000;       370;      7426;
        17;      85,0;;      3000;       535;      7421;
        18;      90,0;;      3000;       720;      7414;
        19;      95,0;;      3000;       922;      7275;
        20;     100,0;;      3000;      1131;      6123;
        21;     105,0;;      3000;      1329;      4881;
        22;     110,0;;      3000;      1506;      3943;
        23;     115,0;;      3000;      1657;      3394;
        24;     120,0;;      3000;      1792;      3054;
        25;     125,0;;      3000;      1909;      2837;
        26;     130,0;;      3000;      2012;      2653;
        27;     135,0;;      3000;      2099;      2549;
        28;     140,0;;      3000;      2176;      2460;
        29;     145,0;;      3000;      2246;      2351;
        30;     150,0;;      3000;      2310;      2213;
        31;     155,0;;      3000;      2366;      2083;
        32;     160,0;;      3000;      2407;      2088;
        33;     165,0;;      3000;      2433;      2276;
        34;     170,0;;      3000;      2447;      2536;
        35;     175,0;;      3000;      2456;      2775;
        36;     180,0;;      3000;      2461;      2962;
        37;     185,0;;      3000;      2463;      3106;
        38;     190,0;;      3000;      2461;      3236;
        39;     195,0;;      3000;      2461;      3312;
        40;     200,0;;      3000;      2465;      3302;
        41;     205,0;;      3000;      2473;      3205;
        42;     210,0;;      3000;      2486;      3025;
        43;     215,0;;      3000;      2502;      2821;
        44;     220,0;;      3000;      2517;      2640;
        45;     225,0;;      3000;      2532;      2533;
        46;     230,0;;      3000;      2545;      2434;
        47;     235,0;;      3000;      2557;      2384;
        48;     240,0;;      3000;      2567;      2383;
        49;     245,0;;      3000;      2572;      2411;
        50;     250,0;;      3000;      2573;      2486;
        51;     255,0;;      3000;      2569;      2610;
        52;     260,0;;      3000;      2564;      2747;
        53;     265,0;;      3000;      2560;      2828;
        54;     270,0;;      3000;      2558;      2844;
        55;     275,0;;      3000;      2556;      2859;
        56;     280,0;;      3000;      2551;      2888;
        57;     285,0;;      3000;      2548;      2911;
        58;     290,0;;      3000;      2549;      2872;
        59;     295,0;;      3000;      2552;      2806;
        60;     300,0;;      3000;      2555;      2738;
        61;     305,0;;      3000;      2557;      2712;
        62;     310,0;;      3000;      2559;      2710;
        63;     315,0;;      3000;      2565;      2650;
        64;     320,0;;      3000;      2571;      2565;
        65;     325,0;;      3000;      2575;      2507;
        66;     330,0;;      3000;      2578;      2515;
        67;     335,0;;      3000;      2578;      2556;
        68;     340,0;;      3000;      2577;      2587;
        69;     345,0;;      3000;      2577;      2635;
        70;     350,0;;      3000;      2573;      2704;
        71;     355,0;;      3000;      2568;      2783;
        72;     360,0;;      3000;      2562;      2847;
        73;     365,0;;      3000;      2557;      2903;
        74;     370,0;;      3000;      2553;      2914;
        75;     375,0;;      3000;      2551;      2910;
        76;     380,0;;      3000;      2551;      2892;
        77;     385,0;;      3000;      2554;      2807;
        78;     390,0;;      3000;      2560;      2687;
        79;     395,0;;      3000;      2564;      2616;
        80;     400,0;;      3000;      2569;      2580;
        81;     405,0;;      3000;      2572;      2571;
        82;     410,0;;      3000;      2573;      2584;
        83;     415,0;;      3000;      2571;      2620;
        84;     420,0;;      3000;      2566;      2730;
        85;     425,0;;      3000;      2559;      2866;
        86;     430,0;;      3000;      2552;      2943;
        87;     435,0;;      3000;      2547;      2976;
        88;     440,0;;      3000;      2543;      2990;
        89;     445,0;;      3000;      2541;      2990;
        90;     450,0;;      3000;      2540;      2958;
        91;     455,0;;      3000;      2542;      2890;
        92;     460,0;;      3000;      2547;      2793;
        93;     465,0;;      3000;      2552;      2734;
        94;     470,0;;      3000;      2556;      2673;
        95;     475,0;;      3000;      2558;      2666;
        96;     480,0;;      3000;      2559;      2673;
        97;     485,0;;      3000;      2558;      2720;
        98;     490,0;;      3000;      2555;      2793;
        99;     495,0;;      3000;      2549;      2876;
       100;     500,0;;      3000;      2545;      2943;
       101;     505,0;;      3000;      2542;      2978;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;0;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

