FICHIER :;e:\comax\07-02-mesure7.eposacq
Date :;07/02/2017
Heure :;09:09:06

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.4 ms


COMMENTAIRE :
kp=3000
 ki=1000

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;      2165;
         1;       5,4;;         0;         0;      2165;
         2;      10,8;;         0;         0;      2165;
         3;      16,2;;         0;         0;      2165;
         4;      21,6;;         0;         0;      2165;
         5;      27,0;;         0;         0;      2165;
         6;      32,4;;         0;         0;      2165;
         7;      37,8;;         0;         0;      2165;
         8;      43,2;;         0;         0;      2165;
         9;      48,6;;         0;         0;      2165;
        10;      54,0;;         0;         0;      2165;
        11;      59,4;;       200;        -4;       835;
        12;      64,8;;       700;       -21;      1363;
        13;      70,2;;      1300;       -24;      4307;
        14;      75,6;;      1800;        14;      6844;
        15;      81,0;;      2300;        87;      7348;
        16;      86,4;;      2900;       201;      7440;
        17;      91,8;;      3000;       312;      7449;
        18;      97,2;;      3000;       464;      7450;
        19;     102,6;;      3000;       611;      7444;
        20;     108,0;;      3000;       772;      7443;
        21;     113,4;;      3000;       972;      7446;
        22;     118,8;;      3000;      1142;      7468;
        23;     124,2;;      3000;      1343;      7481;
        24;     129,6;;      3000;      1516;      7452;
        25;     135,0;;      3000;      1697;      7460;
        26;     140,4;;      3000;      1924;      7449;
        27;     145,8;;      3000;      2121;      7290;
        28;     151,2;;      3000;      2353;      5925;
        29;     156,6;;      3000;      2520;      4190;
        30;     162,0;;      3000;      2657;      2680;
        31;     167,4;;      3000;      2782;      1497;
        32;     172,8;;      3000;      2850;       768;
        33;     178,2;;      3000;      2890;       584;
        34;     183,6;;      3000;      2893;       989;
        35;     189,0;;      3000;      2879;      1796;
        36;     194,4;;      3000;      2856;      2772;
        37;     199,8;;      3000;      2848;      3527;
        38;     205,2;;      3000;      2853;      3947;
        39;     210,6;;      3000;      2868;      4073;
        40;     216,0;;      3000;      2883;      4049;
        41;     221,4;;      3000;      2903;      3970;
        42;     226,8;;      3000;      2920;      3869;
        43;     232,2;;      3000;      2936;      3778;
        44;     237,6;;      3000;      2942;      3804;
        45;     243,0;;      3000;      2941;      4006;
        46;     248,4;;      3000;      2936;      4291;
        47;     253,8;;      3000;      2933;      4562;
        48;     259,2;;      3000;      2941;      4710;
        49;     264,6;;      3000;      2960;      4498;
        50;     270,0;;      3000;      2984;      4060;
        51;     275,4;;      3000;      3011;      3553;
        52;     280,8;;      3000;      3031;      3076;
        53;     286,2;;      3000;      3047;      2675;
        54;     291,6;;      3000;      3055;      2385;
        55;     297,0;;      3000;      3053;      2260;
        56;     302,4;;      3000;      3044;      2307;
        57;     307,8;;      3000;      3029;      2522;
        58;     313,2;;      3000;      3004;      2914;
        59;     318,6;;      3000;      2981;      3432;
        60;     324,0;;      3000;      2964;      3902;
        61;     329,4;;      3000;      2950;      4269;
        62;     334,8;;      3000;      2946;      4482;
        63;     340,2;;      3000;      2949;      4577;
        64;     345,6;;      3000;      2957;      4530;
        65;     351,0;;      3000;      2966;      4444;
        66;     356,4;;      3000;      2977;      4301;
        67;     361,8;;      3000;      2986;      4147;
        68;     367,2;;      3000;      2998;      3970;
        69;     372,6;;      3000;      3006;      3797;
        70;     378,0;;      3000;      3014;      3636;
        71;     383,4;;      3000;      3023;      3434;
        72;     388,8;;      3000;      3029;      3231;
        73;     394,2;;      3000;      3034;      3053;
        74;     399,6;;      3000;      3033;      2974;
        75;     405,0;;      3000;      3032;      2919;
        76;     410,4;;      3000;      3024;      2974;
        77;     415,8;;      3000;      3014;      3121;
        78;     421,2;;      3000;      3002;      3338;
        79;     426,6;;      3000;      2990;      3575;
        80;     432,0;;      3000;      2979;      3853;
        81;     437,4;;      3000;      2968;      4131;
        82;     442,8;;      3000;      2961;      4361;
        83;     448,2;;      3000;      2963;      4460;
        84;     453,6;;      3000;      2966;      4468;
        85;     459,0;;      3000;      2971;      4433;
        86;     464,4;;      3000;      2981;      4316;
        87;     469,8;;      3000;      2992;      4139;
        88;     475,2;;      3000;      3001;      3968;
        89;     480,6;;      3000;      3009;      3805;
        90;     486,0;;      3000;      3016;      3627;
        91;     491,4;;      3000;      3022;      3459;
        92;     496,8;;      3000;      3021;      3398;
        93;     502,2;;      3000;      3022;      3369;
        94;     507,6;;      3000;      3021;      3322;
        95;     513,0;;      3000;      3017;      3338;
        96;     518,4;;      3000;      3011;      3422;
        97;     523,8;;      3000;      3004;      3544;
        98;     529,2;;      3000;      2995;      3698;
        99;     534,6;;      3000;      2988;      3870;
       100;     540,0;;      3000;      2981;      4025;
       101;     545,4;;      3000;      2978;      4181;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;1000;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

